"id","name","readonly","readwrite","requirement"
"GlcDAG181__e","glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GlcGalCer16__e","glucosyl-β1-4-galactosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GlcGalDAG160__e","glucosyl-β1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcGalDAG161__e","glucosyl-β1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GlcGalDAG181__e","glucosyl-β1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GlcGalGalDAG160__e","glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcGalGalDAG161__e","glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GlcGalGalDAG181__e","glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GlcGalGlcDAG160__e","glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcGalGlcDAG161__e","glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GlcGalGlcDAG181__e","glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GlcGlcDAG160__e","glucosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcGlcDAG161__e","glucosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GlcGlcDAG181__e","glucosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GlcGlcGlcDAG160__e","glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcGlcGlcDAG161__e","glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GlcGlcGlcDAG181__e","glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"glchm5dC__e","beta-D-glucosylhydroxymethyl-2'-deoxycytidine","","x","x"
"glchm5dCMP__e","beta-D-glucosylhydroxymethyl-2'-deoxycytidine monophosphate","","x","x"
"glchm5dU__e","beta-D-glucosylhydroxymethyl-2'-deoxyuridine","","x","x"
"glchm5dUMP__e","beta-D-glucosylhydroxymethyl-2'-deoxyuridine monophosphate","","x","x"
"GLN__e","L-glutamine","","x","x"
"GlnGln__e","L-glutaminyl-L-glutamine","","x","x"
"GLU__e","L-Glutamate","","x","x"
"gludT__e","a-glutamyl-2'-deoxythymidine","","x","x"
"gludTMP__e","a-glutamyl-2'-deoxythymidine monophosphate","","x","x"
"GluGlu__e","L-glutamyl-L-glutamic acid","","x","x"
"GLY__e","glycine","","x","x"
"GlyGly__e","L-glycyl-L-glycine","","x","x"
"Gm__e","2'-O-methylguanosine","","x","x"
"GmMP__e","2'-O-methylguanosine monophosphate","","x","x"
"GMP__e","GMP","","x","x"
"GMP_Lysine__e","GMP-lysine","","x","x"
"GMP_Mor__e","GMP-morpholidate","","x","x"
"GN__e","guanine","","x","x"
"GPCH__e","sn-Glycero-3-phosphocholine","","x","x"
"GPE__e","sn-Glycero-3-phosphoethanolamine","","x","x"
"GPG__e","Glycerophosphoglycerol","","x","x"
"GPI__e","sn-Glycero-3-phospho-1-inositol","","x","x"
"GPS__e","Glycerophosphoserine","","x","x"
"GSN__e","guanosine","","x","x"
"GTP__e","GTP","","x","x"
"H__e","hydrogen ion","","x","x"
"H2O__e","water","","x","x"
"H2O2__e","hydrogen peroxide","","x","x"
"HCYS__e","L-homocysteine","","x","x"
"HDCA__e","Hexadecanoate (n-C16:0)","","x","x"
"HDCEA__e","Hexadecenoate (n-C16:1)","","x","x"
"HDECEG3P__e","1-hexadecanoyl-sn-glycerol 3-phosphate","","x","x"
"HDECG3P__e","1-hexadec-9-enoyl-sn-glycerol 3-phosphate","","x","x"
"HIS__e","L-Histidine","","x","x"
"HisHis__e","L-histidyl-L-histidine","","x","x"
"hm3dC__e","3'-hydroxymethyl-2'-deoxycytidine","","x","x"
"hm3dCMP__e","3'-hydroxymethyl-2'-deoxycytidine monophosphate","","x","x"
"hm5dC__e","5'-hydroxymethyl-2'-deoxycytidine","","x","x"
"hm5dCMP__e","5'-hydroxymethyl-2'-deoxycytidine monophosphate","","x","x"
"hm5dU__e","5-hydroxymethyl-2'-deoxyuridine","","x","x"
"hm5dUMP__e","5-hydroxymethyl-2'-deoxyuridine monophosphate","","x","x"
"hm5hydantoin_dRibose__e","2'-deoxy-3'-(5-hydroxy-5-methyl-hydantoin)-ribose","","x","x"
"hm5hydantoin_dRiboseMP__e","2'-deoxy-3'-(5-hydroxy-5-methyl-hydantoin)-ribose monophosphate","","x","x"
"ho5dC__e","5-Hydroxy-2'-deoxycytidine","","x","x"
"ho5dCMP__e","5-Hydroxy-2'-deoxycytidine monophosphate","","x","x"
"ho5dU__e","5-hydroxy-2'-deoxyuridine","","x","x"
"ho5dUMP__e","5-hydroxy-2'-deoxyuridine monophosphate","","x","x"
"ho5ho6dT__e","5-hydroxy-6-hydroxy-2'-deoxythymidine","","x","x"
"ho5ho6dTMP__e","5-hydroxy-6-hydroxy-2'-deoxythymidine monophosphate","","x","x"
"ho5ho6dU__e","5-hydroxy-6-hydroxy-2'-deoxyuridine","","x","x"
"ho5ho6dUMP__e","5-hydroxy-6-hydroxy-2'-deoxyuridine monophosphate","","x","x"
"ho5hydantoin_dRibose__e","2'-deoxy-3'-(5-hydroxyhydantoin)-ribose","","x","x"
"ho5hydantoin_dRiboseMP__e","2'-deoxy-3'-(5-hydroxyhydantoin)-ribose monophosphate","","x","x"
"HPHPYR__e","3-(4-Hydroxyphenyl)pyruvate","","x","x"
"hydride__e","hydride","","x","x"
"hydroxyl_radical__e","hydroxyl radical","","x","x"
"HYXN__e","hypoxanthine","","x","x"
"IDP__e","IDP","","x","x"
"ILE__e","L-Isoleucine","","x","x"
"IleIle__e","L-isoleucyl-L-isoleucine","","x","x"
"IMP__e","IMP","","x","x"
"INOS__e","myo-inositol","","x","x"
"INS__e","inosine","","x","x"
"ITP__e","ITP","","x","x"
"K__e","potassium ion","","x","x"
"k2C__e","lysidine","","x","x"
"k2CMP__e","lysidine monophosphate","","x","x"
"LAC__e","D-lactate","","x","x"
"LEU__e","L-Leucine","","x","x"
"LeuLeu__e","L-leucyl-L-leucine","","x","x"
"LIPOATE__e","lipoate","","x","x"
"LIPOYLAMP__e","lipoyl-AMP","","x","x"
"LIPOYLLYS__e","N(6)-(lipoyl)lysine","","x","x"
"lomefloxacin__e","Lomefloxacin","","x","x"
"LYS__e","L-Lysine","","x","x"
"LysLys__e","L-lysyl-L-lysine","","x","x"
"m1dA__e","1-methyl-2'-deoxyadenosine","","x","x"
"m1dAMP__e","1-methyl-2'-deoxyadenosine monophosphate","","x","x"
"m1dG__e","1-methyl-2'-deoxyguanosine","","x","x"
"m1dGMP__e","1-methyl-2'-deoxyguanosine monophosphate","","x","x"
"m1G__e","1-methylguanosine","","x","x"
"m1GMP__e","1-methylguanosine monophosphate","","x","x"
"m2G__e","N(2)-methylguanosine","","x","x"
"m2GMP__e","N(2)-methylguanosine monophosphate","","x","x"
"m3dA__e","3-methyl-2'-deoxyadenosine","","x","x"
"m3dAMP__e","3-methyl-2'-deoxyadenosine monophosphate","","x","x"
"m3dC__e","3-methyl-2'-deoxycytidine","","x","x"
"m3dCMP__e","3-methyl-2'-deoxycytidine monophosphate","","x","x"
"m3dG__e","3-methyl-2'-deoxyguanosine","","x","x"
"m3dGMP__e","3-methyl-2'-deoxyguanosine monophosphate","","x","x"
"m3dT__e","3'-methyl-2'-deoxythymidine","","x","x"
"m3dTMP__e","3'-methyl-2'-deoxythymidine monophosphate","","x","x"
"m4dC__e","4-methyl-2'-deoxycytidine","","x","x"
"m4dCMP__e","4-methyl-2'-deoxycytidine monophosphate","","x","x"
"m5C__e","5-methylcytidine","","x","x"
"m5CMP__e","5-methylcytidine monophosphate","","x","x"
"m5dC__e","5-methyl-2'-deoxycytidine","","x","x"
"m5dCMP__e","5-methyl-2'-deoxycytidine monophosphate","","x","x"
"m62A__e","N6,N6-dimethyladenosine","","x","x"
"m62AMP__e","N6,N6-dimethyladenosine monophosphate","","x","x"
"m6A__e","N(6)-methyladenine","","x","x"
"m6AMP__e","N(6)-methyladenine monophosphate","","x","x"
"m6dA__e","6-methyl-2'-deoxyadenosine","","x","x"
"m6dAMP__e","6-methyl-2'-deoxyadenosine monophosphate","","x","x"
"m7dA__e","7-methyl-2'-deoxyadenosine","","x","x"
"m7dAMP__e","7-methyl-2'-deoxyadenosine monophosphate","","x","x"
"m7dG__e","7-methyl-2'-deoxyguanosine","","x","x"
"m7dGMP__e","7-methyl-2'-deoxyguanosine monophosphate","","x","x"
"m7G__e","7-methylguanosine","","x","x"
"m7GMP__e","7-methylguanosine monophosphate","","x","x"
"m8dG__e","8-methyl-2'-deoxyguanosine","","x","x"
"m8dGMP__e","8-methyl-2'-deoxyguanosine monophosphate","","x","x"
"MAL__e","L-Malate","","x","x"
"MAN__e","D-Mannose","","x","x"
"MAN1P__e","D-Mannose 1-phosphate","","x","x"
"MAN6P__e","D-Mannose 6-phosphate","","x","x"
"MET__e","L-Methionine","","x","x"
"METHF__e","5,10-methyltetrahydrofolate","","x","x"
"methylRed__e","4′-dimethylaminoazobenzene-2-carboxylic acid","","x","x"
"METHYL_OCDCEA__e","methyl oleate","","x","x"
"MetMet__e","L-methionyl-L-methionine","","x","x"
"METSOXRL__e","L-Methionine-R-Sulfoxide","","x","x"
"METSOXSL__e","L-Methionine-S-Sulfoxide","","x","x"
"METTHF__e","5,10-Methylenetetrahydrofolate","","x","x"
"MG__e","magnesium ion","","x","x"
"MN__e","manganese ion","","x","x"
"MO__e","molybdenum ion","","x","x"
"MOBD__e","Molybdate","","x","x"
"MONOBUTYRIN__e","1-monobutyrin","","x","x"
"MOR__e","morpholine","","x","x"
"MTHF__e","5-Methyltetrahydrofolate","","x","x"
"n2dA__e","2-amino-2'-deoxyadenosine","","x","x"
"n2dAMP__e","2-amino-2'-deoxyadenosine monophosphate","","x","x"
"NA__e","sodium ion","","x","x"
"NAAD__e","nicotinic acid adenine dinucleotide","","x","x"
"NAC__e","nicotinate","","x","x"
"NAD__e","nicotinamide adenine dinucleotide, oxidized","","x","x"
"NADH__e","nicotinamide adenine dinucleotide, reduced","","x","x"
"NADP__e","nicotinamide adenine dinucleotide phosphate, oxidized","","x","x"
"NADPH__e","nicotinamide adenine dinucleotide phosphate, reduced","","x","x"
"NAMN__e","nicotinate/nicotinic acid mononucleotide","","x","x"
"NH3__e","ammonia","","x","x"
"NH4__e","ammonium","","x","x"
"NI__e","nickel","","x","x"
"nisin__e","nisin","","x","x"
"NMN__e","nicotinamide mononucleotide","","x","x"
"norfloxacin__e","Norfloxacin","","x","x"
"novobiocin__e","Novobiocin","","x","x"
"NR__e","Nicotinate D-ribonucleotide","","x","x"
"O2__e","oxygen","","x","x"
"O2edC__e","2'-O-ethyl-2'-deoxycytidine","","x","x"
"O2edCMP__e","2'-O-ethyl-2'-deoxycytidine monophosphate","","x","x"
"O2edT__e","2'-O-ethyl-2'-deoxythymidine","","x","x"
"O2edTMP__e","2'-O-ethyl-2'-deoxythymidine monophosphate","","x","x"
"O2mdC__e","2'-O-methyl-2'-deoxycytidine","","x","x"
"O2mdCMP__e","2'-O-methyl-2'-deoxycytidine monophosphate","","x","x"
"O2mdT__e","2'-O-methyl-2'-deoxythymidine","","x","x"
"O2mdTMP__e","2'-O-methyl-2'-deoxythymidine monophosphate","","x","x"
"O4edT__e","4'-O-ethyl-2'-deoxythymidine","","x","x"
"O4edTMP__e","4'-O-ethyl-2'-deoxythymidine monophosphate","","x","x"
"O4mdT__e","4'-O-methyl-2'-deoxythymidine","","x","x"
"O4mdTMP__e","4'-O-methyl-2'-deoxythymidine monophosphate","","x","x"
"O6edG__e","6'-O-ethyl-2'-deoxyguanosine","","x","x"
"O6edGMP__e","6'-O-ethyl-2'-deoxyguanosine monophosphate","","x","x"
"O6mdG__e","6'-O-methyl-2'-deoxyguanosine","","x","x"
"O6mdGMP__e","6'-O-methyl-2'-deoxyguanosine monophosphate","","x","x"
"OA__e","oxaloacetate","","x","x"
"OCDCA__e","octadecanoate (n-C18:0)","","x","x"
"OCDCEA__e","octadecenoate (n-C18:1)","","x","x"
"ODEC11GP__e","1-octadec-11-enoyl-sn-glycerol 3-phosphate","","x","x"
"ODECG3P__e","1-octadecanoyl-sn-glycerol 3-phosphate","","x","x"
"OH__e","hydoxide anion","","x","x"
"ORN__e","ornithine","","x","x"
"oxo2dA__e","2-hydroxy-2'-deoxyadenosine","","x","x"
"oxo2dAMP__e","2-hydroxy-2'-deoxyadenosine monophosphate","","x","x"
"oxo8dA__e","8-hydroxy-2'-deoxyadenosine","","x","x"
"oxo8dAMP__e","8-hydroxy-2'-deoxyadenosine monophosphate","","x","x"
"oxo8dG__e","8-Oxo-2'-deoxyguanosine; 8-hydroxy-2'-deoxyguanosine","","x","x"
"oxo8dGMP__e","8-Oxo-2'-deoxyguanosine monophosphate; 8-hydroxy-2'-deoxyguanosine monophosphate","","x","x"
"oxoethyl7dG__e","7-(2'-oxoethyl)-2'-deoxyguanosine","","x","x"
"oxoethyl7dGMP__e","7-(2'-oxoethyl)-2'-deoxyguanosine monophosphate","","x","x"
"PA120__e","1,2-didodecanoyl-sn-glycerol 3-phosphate","","x","x"
"PA140__e","1,2-ditetradecanoyl-sn-glycerol 3-phosphate","","x","x"
"PA141__e","1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate","","x","x"
"PA160__e","1,2-dihexadecanoyl-sn-glycerol 3-phosphate","","x","x"
"PA161__e","1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate","","x","x"
"PA180__e","1,2-dioctadecanoyl-sn-glycerol 3-phosphate","","x","x"
"PA181__e","1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate","","x","x"
"PAP__e","Adenosine 3',5'-bisphosphate","","x","x"
"pCHOL__e","phosphoryl-choline","","x","x"
"PDLA5P__e","Pyridoxamine 5'-phosphate","","x","x"
"PEP__e","phosphoenolpyruvate","","x","x"
"PG160__e","Phosphatidylglycerol (dihexadecanoyl, n-C16:0)","","x","x"
"PG161__e","Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)","","x","x"
"PG181__e","Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)","","x","x"
"PGP160__e","Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)","","x","x"
"PGP161__e","Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1)","","x","x"
"PGP181__e","Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)","","x","x"
"PHE__e","L-phenylalanine","","x","x"
"PhePhe__e","L-phenylalanyl-L-phenylalanine","","x","x"
"PHPYR__e","phenylpyruvate","","x","x"
"PI__e","phosphate","","x","x"
"PL5P__e","Pyridoxal 5'-phosphate","","x","x"
"POE_SORBITAN__e","Polyoxyethylene (20) sorbitan","","x","x"
"PPAA__e","Phosphonoacetaldehyde","","x","x"
"PPGPP__e","Guanosine 3',5'-bis(diphosphate)","","x","x"
"PPHG__e","protoporphyrinogen IX","","x","x"
"PPI__e","diphosphate","","x","x"
"PPIX__e","protoporphyrin IX","","x","x"
"PRO__e","L-Proline","","x","x"
"proflavine__e","Proflavine","","x","x"
"ProPro__e","L-prolyl-L-proline","","x","x"
"PRPP__e","5-Phospho-alpha-D-ribose 1-diphosphate","","x","x"
"pSER__e","phosphoserine","","x","x"
"PSIURI__e","pseudouridine","","x","x"
"PSIURIMP__e","pseudouridine monophoshate","","x","x"
"pTHR__e","phosphothreonine","","x","x"
"PTRC__e","putrescine","","x","x"
"pTYR__e","Phosphotyrosine","","x","x"
"putdT__e","alpha-putrescinyl-2'-deoxythymidine","","x","x"
"putdTMP__e","alpha-putrescinyl-2'-deoxythymidine monophosphate","","x","x"
"PYDX__e","Pyridoxal","","x","x"
"PYR__e","pyruvate","","x","x"
"R1P__e","alpha-D-Ribose 1-phosphate","","x","x"
"R5P__e","alpha-D-Ribose 5-phosphate","","x","x"
"RBFLVRD__e","riboflavin, reduced","","x","x"
"rhodamine6G__e","Rhodamine 6G","","x","x"
"RIB__e","D-ribose","","x","x"
"RIBFLV__e","riboflavin, oxidized","","x","x"
"RL5P__e","D-Ribulose 5-phosphate","","x","x"
"s2U__e","2-thiouridine","","x","x"
"s2UMP__e","2-thiouridine monophosphate","","x","x"
"s4U__e","4-thiouridine","","x","x"
"s4UMP__e","4-thiouridine monophosphate","","x","x"
"S7P__e","D-sedoheptulose-7-phosphate","","x","x"
"SALA__e","3-Sulfino-L-alanine","","x","x"
"SBT__e","D-Sorbitol","","x","x"
"SBT6P__e","D-Sorbitol 6-phosphate","","x","x"
"SER__e","L-Serine","","x","x"
"SerSer__e","L-seryl-L-serine","","x","x"
"SNGLYP__e","sn-glycerol-1-phosphate","","x","x"
"SO2__e","sulfur dioxide","","x","x"
"SO4__e","sulphate","","x","x"
"SPMD__e","spermidine","","x","x"
"STEROL__e","cholesterol","","x","x"
"T3P1__e","D-glyceraldehdye-3-phosphate","","x","x"
"T3P2__e","Dihydroxyacetone phosphate","","x","x"
"TAG16P__e","D-Tagatose 1,6-biphosphate","","x","x"
"TAG6P__e","D-Tagatose 6-phosphate","","x","x"
"tBHP__e","tert-butylhydroperoxide","","x","x"
"tBOH__e","tert-Butanol","","x","x"
"TDECEG3P__e","1-tetradec-7-enoyl-sn-glycerol 3-phosphate","","x","x"
"TDECG3P__e","1-tetradecanoyl-sn-glycerol 3-phosphate","","x","x"
"TDP__e","TDP","","x","x"
"tetraphenylphosphonium__e","tetraphenylphosphonium","","x","x"
"THF__e","5,6,7,8-Tetrahydrofolate","","x","x"
"THM__e","thiamine","","x","x"
"THMP__e","Thiamin monophosphate","","x","x"
"THR__e","L-Threonine","","x","x"
"ThrThr__e","L-threonyl-L-threonine","","x","x"
"THY__e","thymine","","x","x"
"TPP__e","thiamine diphosphate","","x","x"
"TRIBUTYRIN__e","tributyrin; 1,3-Di(butanoyloxy)propan-2-yl butanoate; butyrin","","x","x"
"TRILAURIN__e","trilaurin","","x","x"
"TRIMYRISTIN__e","trimyristin; 1,3-Di(tetradecanoyloxy)propan-2-yl tetradecanoate; glyceryl trimyristate","","x","x"
"TRIOLEIN__e","triolein","","x","x"
"TRIPALMITIN__e","tripalmitin; 1,2,3-Trihexadecanoylglycerol; Glyceryl Tripalmitate; Glycerol Tripalmitate","","x","x"
"TRISTEARIN__e","Tristearin","","x","x"
"TRI_HDCEA_IN__e","triacylglycerol of {Hexadecenoate acid}","","x","x"
"TRI_TTDCEA_IN__e","triacylglycerol of {tetradecenoic acid}","","x","x"
"TRP__e","L-tryptophan","","x","x"
"TrpTrp__e","L-trytophanyl-L-trytophan","","x","x"
"TTDCA__e","tetradecanoate (n-C14:0)","","x","x"
"TTDCEA__e","tetradecenoate (n-C14:1)","","x","x"
"TTP__e","TTP","","x","x"
"TWEEN80__e","Tween 80; Polyoxyethylene (20) sorbitan monooleate; polysorbate 80","","x","x"
"TYR__e","L-tyrosine","","x","x"
"TyrTyr__e","L-tyrosyl-L-tyrosine","","x","x"
"U23CMP__e","2',3'-Cyclic UMP","","x","x"
"U3MP__e","3'-UMP","","x","x"
"UDP__e","UDP","","x","x"
"UDPG__e","UDP-glucose","","x","x"
"UDPGAL__e","UDP-galactose","","x","x"
"UDPGALF__e","UDP-D-galacto-1,4-furanose","","x","x"
"Um__e","2'-O-methyluridine","","x","x"
"UmMP__e","2'-O-methyluridine monophosphate","","x","x"
"UMP__e","UMP","","x","x"
"URA__e","uracil","","x","x"
"URI__e","uridine","","x","x"
"UTP__e","UTP","","x","x"
"VAL__e","L-Valine","","x","x"
"ValVal__e","L-valyl-L-valine","","x","x"
"vinyl_chloride__e","Vinylchloride","","x","x"
"X5P__e","D-Xylulose 5-phosphate","","x","x"
"XAN__e","xanthine","","x","x"
"XTSN__e","xanthosine","","x","x"
"ZN__e","zinc ion","","x","x"
"A23CMP__m","2',3'-Cyclic AMP","","x","x"
"A3MP__m","3'-AMP","","x","x"
"AC__m","acetate","","x","x"
"ACAL__m","acetaldehyde","","x","x"
"ACCOA__m","Acetyl-CoA","","x","x"
"acriflavine__m","Acriflavine","","x","x"
"ACTP__m","Acetyl phosphate","","x","x"
"AD__m","adenine","","x","x"
"ADN__m","adenosine","","x","x"
"ADP__m","ADP","","x","x"
"AEPP__m","2-aminoethylphosphonate","","x","x"
"AHCYS__m","S-Adenosyl-L-homocysteine","","x","x"
"AKG__m","2-Oxoglutarate","","x","x"
"ALA__m","L-alanine","","x","x"
"AlaAla__m","L-alanyl-L-alanine","","x","x"
"AMET__m","S-Adenosyl-L-methionine","","x","x"
"aminodimethylaniline__m","N,N'-dimethyl-p-phenylenediamine","","x","x"
"AMP__m","AMP","","x","x"
"AMP_Lysine__m","AMP-Lysine","","x","x"
"AMP_Mor__m","AMP-morpholidate","","x","x"
"AMP_NH2__m","AMP-NH2","","x","x"
"anthranilate__m","2-aminobenzoic acid","","x","x"
"ARG__m","L-Arginine","","x","x"
"ArgArg__m","L-arginyl-L-arginine","","x","x"
"ASN__m","L-Asparagine","","x","x"
"AsnAsn__m","L-asparaginyl-L-asparagine","","x","x"
"ASP__m","L-Aspartate","","x","x"
"AspAsp__m","L-aspartyl-L-aspartic Acid","","x","x"
"ATP__m","ATP","","x","x"
"aza6dT__m","6-aza-2'-deoxythymidine","","x","x"
"aza6dTMP__m","6-aza-2'-deoxythymidine monophosphate","","x","x"
"aza8dA__m","8-aza-2'-deoxyadenosine","","x","x"
"aza8dAMP__m","8-aza-2'-deoxyadenosine monophosphate","","x","x"
"benzalkonium__m","Benzalkonium","","x","x"
"berberine__m","Berberine","","x","x"
"BUT__m","butyric acid, butanoic acid","","x","x"
"C23CMP__m","2',3'-Cyclic CMP","","x","x"
"C3MP__m","3'-CMP","","x","x"
"c5dU__m","5-Carbouy-2'-deoxyuridine","","x","x"
"c5dUMP__m","5-Carbouy-2'-deoxyuridine monophosphate","","x","x"
"CA__m","calcium ion","","x","x"
"CAP__m","carbamoyl phosphate","","x","x"
"carbamoylmethyl6dA__m","N6-carbamoylmethyl-2'-deoxyadenosine","","x","x"
"carbamoylmethyl6dAMP__m","N6-carbamoylmethyl-2'-deoxyadenosine monophosphate","","x","x"
"CDP__m","CDP","","x","x"
"CDPDG120__m","CDP-1,2-didodecanoylglycerol","","x","x"
"CDPDG140__m","CDP-1,2-ditetradecanoylglycerol","","x","x"
"CDPDG141__m","CDP-1,2-ditetradec-7-enoylglycerol","","x","x"
"CDPDG160__m","CDP-1,2-dihexadecanoylglycerol","","x","x"
"CDPDG161__m","CDP-1,2-dihexadec-9-enoylglycerol","","x","x"
"CDPDG180__m","CDP-1,2-dioctadecanoylglycerol","","x","x"
"CDPDG181__m","CDP-1,2-dioctadec-11-enoylglycerol","","x","x"
"Ceramide16__m","Ceramide (d18:1/16:0)","","x","x"
"CH3OH__m","methanol","","x","x"
"chloroacetaldehyde__m","chloroacetaldehyde","","x","x"
"chloroethylene_oxide__m","chloroethylene oxide","","x","x"
"CHOL__m","choline","","x","x"
"CHP__m","cumene hydroperoxide","","x","x"
"ciprofloxacin__m","ciprofloxacin","","x","x"
"CITR__m","L-citrulline","","x","x"
"CL__m","chloride ion","","x","x"
"CL160__m","cardiolipin (tetrahexadecanoyl, n-C16:0)","","x","x"
"CL161__m","cardiolipin (tetrahexadec-9-enoyl, n-C16:1)","","x","x"
"CL181__m","cardiolipin (tetraoctadec-11-enoyl, n-C18:1)","","x","x"
"cmnm5s2U__m","5-carboxymethylaminomethyl-2-thiouridine","","x","x"
"cmnm5s2UMP__m","5-carboxymethylaminomethyl-2-thiouridine monophosphate","","x","x"
"CMP__m","CMP","","x","x"
"CO__m","cobalt ion","","x","x"
"CO2__m","carbon dioxide","","x","x"
"COA__m","coenzyme A","","x","x"
"crystalViolet__m","Crystal violet","","x","x"
"CTP__m","CTP","","x","x"
"CU__m","cupric ion","","x","x"
"cyclobutane_dCdC__m","cyclobutane 2'-deoxycytidine dimer","","x","x"
"cyclobutane_dCdT__m","cyclobutane 2'-deoxycytidine 2'-deoxythymidine ","","x","x"
"cyclobutane_dCMPdCMP__m","cyclobutane 2'-deoxycytidine monophosphate dimer","","x","x"
"cyclobutane_dCMPdTMP__m","cyclobutane 2'-deoxycytidine monophosphate 2'-deoxythymidine  monophosphate","","x","x"
"cyclobutane_dTdC__m","cyclobutane 2'-deoxythymidine 2'-deoxycytidine","","x","x"
"cyclobutane_dTdT__m","cyclobutane 2'-deoxythymidine dimer","","x","x"
"cyclobutane_dTMPdCMP__m","cyclobutane 2'-deoxythymidine monophosphate 2'-deoxycytidine monophosphate","","x","x"
"cyclobutane_dTMPdTMP__m","cyclobutane 2'-deoxythymidine monophosphate dimer","","x","x"
"cyclodA__m","8,5'-cyclo-2'-deoxyadenosine","","x","x"
"cyclodAMP__m","8,5'-cyclo-2'-deoxyadenosine monophosphate","","x","x"
"cyclodG__m","8,5'-cyclo-2'-deoxyguanosine","","x","x"
"cyclodGMP__m","8,5'-cyclo-2'-deoxyguanosine monophosphate","","x","x"
"CYS__m","L-Cysteine","","x","x"
"CysCys__m","L-cysteinyl-L-cysteine","","x","x"
"CYTD__m","cytidine","","x","x"
"c_di_AMP__m","Cyclic-di-adenylate","","x","x"
"DA__m","deoxyadenosine","","x","x"
"DADP__m","dADP","","x","x"
"DAG160__m","Diacylglycerol (n-16:0)","","x","x"
"DAG161__m","Diacylglycerol (n-16:1)","","x","x"
"DAG181__m","Diacylglycerol (n-18:1)","","x","x"
"DALA__m","D-alanine","","x","x"
"DAMP__m","dAMP","","x","x"
"dApdAp__m","dAp-dAp","","x","x"
"DATP__m","dATP","","x","x"
"DC__m","deoxycytidine","","x","x"
"dC64dC__m","2'-deoxycytidine-[6,4]-2'-deoxycytidine","","x","x"
"dC64dC_dewar__m","2'-deoxycytidine-[6,4]-2'-deoxycytidine dewar product","","x","x"
"dC64dT__m","2'-deoxycytidine-[6,4]-2'-deoxythymidine","","x","x"
"dC64dT_dewar__m","2'-deoxycytidine-[6,4]-2'-deoxythymidine dewar product","","x","x"
"DCDP__m","dCDP","","x","x"
"DCMP__m","dCMP","","x","x"
"dCMP64dCMP__m","2'-deoxycytidine monophosphate-[6,4]-2'-deoxycytidine monophosphate","","x","x"
"dCMP64dCMP_dewar__m","2'-deoxycytidine monophosphate-[6,4]-2'-deoxycytidine monophosphate dewar product","","x","x"
"dCMP64dTMP__m","2'-deoxycytidine monophosphate-[6,4]-2'-deoxythymidine monophosphate","","x","x"
"dCMP64dTMP_dewar__m","2'-deoxycytidine monophosphate-[6,4]-2'-deoxythymidine monophosphate dewar product","","x","x"
"dCMP_GLYC__m","2-'deoxycytidine monophosphate glycol","","x","x"
"dCpdCp__m","dCp-dCp","","x","x"
"DCTP__m","dCTP","","x","x"
"dC_GLYC__m","2-'deoxycytidine glycol","","x","x"
"DDCA__m","Dodecanoate (n-C12:0)","","x","x"
"DDECG3P__m","1-dodecanoyl-sn-glycerol 3-phosphate","","x","x"
"deoxyG6P__m","2-deoxy-glucose-6-phosphate","","x","x"
"deoxyGLC__m","2-deoxy-glucose","","x","x"
"DG__m","deoxyguanosine","","x","x"
