"id","name","readonly","readwrite","requirement"
"epsilonN23dG__c","N2,3-etheno-2'-deoxyguanosine","","x","x"
"epsilonN23dGMP__c","N2,3-etheno-2'-deoxyguanosine monophosphate","","x","x"
"ethidium__c","Ethidium","","x","x"
"ETN__c","ethanolamine","","x","x"
"F1P__c","D-Fructose 1-phosphate","","x","x"
"f5dU__c","5-formyl-2'-deoxyuridine","","x","x"
"f5dUMP__c","5-formyl-2'-deoxyuridine monophosphate","","x","x"
"F6P__c","D-Fructose 6-phosphate","","x","x"
"FAD__c","flavin adenine dinucleotide, oxidized","","x","x"
"FADH2__c","flavin adenine dinucleotide, reduced","","x","x"
"FALD__c","formaldehyde","","x","x"
"FAPydA__c","N4-(2-Deoxy-alpha,beta-D-erythro-pentofuranosyl)-4,6-diamino-5-formamidopyrimidine","","x","x"
"FAPydAMP__c","N4-(2-Deoxy-alpha,beta-D-erythro-pentofuranosyl)-4,6-diamino-5-formamidopyrimidine monophosphate","","x","x"
"FAPydG__c","N6-(2-Deoxy-α,β-d-erythro-pentofuranosyl)-2,6-diamino-4-hydroxy-5-formamidopyrimidine","","x","x"
"FAPydGMP__c","N6-(2-Deoxy-α,β-d-erythro-pentofuranosyl)-2,6-diamino-4-hydroxy-5-formamidopyrimidine monophosphate","","x","x"
"FDP__c","D-Fructose 1,6-bisphosphate","","x","x"
"FE2__c","ferrous iron","","x","x"
"FE3__c","ferric iron","","x","x"
"FMET__c","N-Formyl-L-methionine","","x","x"
"FMN__c","flavin mononucleotide, oxidized","","x","x"
"FMNH2__c","flavin mononucleotide, reduced","","x","x"
"FOR__c","Formate","","x","x"
"FRU__c","D-Fructose","","x","x"
"FTHF10__c","10-formyl-tetrahydrofolate","","x","x"
"FTHF5__c","5-formyltetrahydrofolate","","x","x"
"FUC1P__c","L-fucose 1-phosphate","","x","x"
"G1P__c","D-Glucose 1-phosphate","","x","x"
"G23CMP__c","2',3'-Cyclic GMP","","x","x"
"G2P__c","D-Glycerate 2-phosphate","","x","x"
"G3MP__c","3'-GMP","","x","x"
"G3P__c","3-Phospho-D-glycerate","","x","x"
"G6P__c","D-Glucose 6-phosphate","","x","x"
"GalCer16__c","galactosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GalDAG160__c","galactosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GalDAG161__c","galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GalDAG181__c","galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GalGalCer16__c","galactosyl-α1-4-galactosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GalGalDAG160__c","galactosyl-α1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GalGalDAG161__c","galactosyl-α1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GalGalDAG181__c","galactosyl-α1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GalGalGalDAG160__c","galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GalGalGalDAG161__c","galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GalGalGalDAG181__c","galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GalGalGlcCer16__c","galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GalGalGlcDAG160__c","galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GalGalGlcDAG161__c","galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GalGalGlcDAG181__c","galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GalGlcCer16__c","galactosyl-β1-4-glucosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GalGlcDAG160__c","galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GalGlcDAG161__c","galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GalGlcDAG181__c","galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GDP__c","GDP","","x","x"
"GDPTP__c","Guanosine 3'-diphosphate 5'-triphosphate","","x","x"
"GL__c","glycerol","","x","x"
"GL2P__c","Glycerol 2-phosphate","","x","x"
"GL3P__c","Glycerol 3-phosphate","","x","x"
"GLC__c","D-Glucose","","x","x"
"GlcCer16__c","glucosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GlcDAG160__c","glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcDAG161__c","glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GlcDAG181__c","glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GlcGalCer16__c","glucosyl-β1-4-galactosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GlcGalDAG160__c","glucosyl-β1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcGalDAG161__c","glucosyl-β1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GlcGalDAG181__c","glucosyl-β1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GlcGalGalDAG160__c","glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcGalGalDAG161__c","glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GlcGalGalDAG181__c","glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GlcGalGlcDAG160__c","glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcGalGlcDAG161__c","glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GlcGalGlcDAG181__c","glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GlcGlcDAG160__c","glucosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcGlcDAG161__c","glucosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GlcGlcDAG181__c","glucosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GlcGlcGlcDAG160__c","glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcGlcGlcDAG161__c","glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GlcGlcGlcDAG181__c","glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"glchm5dC__c","beta-D-glucosylhydroxymethyl-2'-deoxycytidine","","x","x"
"glchm5dCMP__c","beta-D-glucosylhydroxymethyl-2'-deoxycytidine monophosphate","","x","x"
"glchm5dU__c","beta-D-glucosylhydroxymethyl-2'-deoxyuridine","","x","x"
"glchm5dUMP__c","beta-D-glucosylhydroxymethyl-2'-deoxyuridine monophosphate","","x","x"
"GLN__c","L-glutamine","","x","x"
"GlnGln__c","L-glutaminyl-L-glutamine","","x","x"
"GLU__c","L-Glutamate","","x","x"
"gludT__c","a-glutamyl-2'-deoxythymidine","","x","x"
"gludTMP__c","a-glutamyl-2'-deoxythymidine monophosphate","","x","x"
"GluGlu__c","L-glutamyl-L-glutamic acid","","x","x"
"GLY__c","glycine","","x","x"
"GlyGly__c","L-glycyl-L-glycine","","x","x"
"Gm__c","2'-O-methylguanosine","","x","x"
"GmMP__c","2'-O-methylguanosine monophosphate","","x","x"
"GMP__c","GMP","","x","x"
"GMP_Lysine__c","GMP-lysine","","x","x"
"GMP_Mor__c","GMP-morpholidate","","x","x"
"GN__c","guanine","","x","x"
"GPCH__c","sn-Glycero-3-phosphocholine","","x","x"
"GPE__c","sn-Glycero-3-phosphoethanolamine","","x","x"
"GPG__c","Glycerophosphoglycerol","","x","x"
"GPI__c","sn-Glycero-3-phospho-1-inositol","","x","x"
"GPS__c","Glycerophosphoserine","","x","x"
"GSN__c","guanosine","","x","x"
"GTP__c","GTP","","x","x"
"H__c","hydrogen ion","","x","x"
"H2O__c","water","","x","x"
"H2O2__c","hydrogen peroxide","","x","x"
"HCYS__c","L-homocysteine","","x","x"
"HDCA__c","Hexadecanoate (n-C16:0)","","x","x"
